//SQL: ID Auto
//FoodCat: 50, String
//Item: 600, string
//mass: int
//unit String, 5
//Food Category;Description/Tags;Portion, Raw;
//ENDHEADER
Bakery Products;Bread;50g;
Bakery Products;Bagels, tea biscuits, scones, rolls, buns, croissants, tortillas, soft bread sticks, soft pretzels, corn bread;55g;
Bakery Products;Pita;55g;
Bakery Products;Brownies;40g;
Bakery Products;Cake (heavy weight), cheese cake, pineapple upside-down, cake;125g;
Bakery Products;Cake (medium weight)light weight cake icing, Boston cream pie, cupcakes, eclairs, cream puffs;80g;
Bakery Products;Cake (light weight), angel food, chiffon, sponge cake;55g;
Bakery Products;Coffee cake, doughnut, danish, sweet roll, sweet bread, muffins;55g;
Bakery Products;Cookies, wafers;30g;
Bakery Products;Crackers, hard bread sticks, melba toast;20g;
Bakery Products;Dry breads, matzo, rusks;30g;
Bakery Products;Flaky pastry;55g;
Bakery Products;Toaster pastries;55g;
Bakery Products;Ice cream cones;5g;
Bakery Products;Croutons;7g;
Bakery Products;French toast, pancakes, waffles;75g;
Bakery Products;Grain-based bars with filling;40g;
Bakery Products;Grain-based bars, without filling;30g;
Bakery Products;Rice cakes, corn cakes;15g;
Bakery Products;Pies, tarts, cobblers, turnovers, pastry;110g;
Bakery ProductsBakery Products;Pizza crust;55g;
Bakery Products;Taco shell;30g;
Bakery Products;drink, beverages, iced tea, wine coolers;355ml;
Bakery Products;Sports drinks and water;500ml;
Bakery Products;Coffee;175ml;
Bakery Products;regular and instant tea;175ml;
Bakery Products;flavoured and sweetened tea;250mL;
Bakery Products;Cocoa, chocolate milk;175ml;
Cereals and Other Grain Products;Dry Hot breakfast cereals, Dry oatmeal, Dry cream of wheat;40g;
Cereals and Other Grain Products;Prepared Hot breakfast cereals, prepared oatmeal, Prepared cream of wheat;250ml;
Cereals and Other Grain Products;breakfast cereals, puffed;15g;
Cereals and Other Grain Products;Ready-to-eat breakfast cereals, puffed and coated, flaked, extruded;30g;
Cereals and Other Grain Products;breakfast cereals, fruit and nut, granola;55g;
Cereals and Other Grain Products;Bran and wheat germ;15g;
